Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Media
"Narendranath, Aneet D; Hermanson, James C; Kolkka, Robert W; Struthers, Allan A; Allen, Jeffrey S; ",The effect of gravity on the stability of an evaporating liquid film,Microgravity Science and Technology,26,3,189-199,2014,Springer Netherlands,
"Narendranath, Aneet D.; Kimball, Jeramy; Hermanson, James; Kolkka, Robert; Allen, Jeffrey; ",Inclusion of buoyancy effects in the evaporating liquid film evolution equation,APS Division of Fluid Dynamics Meeting Abstracts,1,,,2010,,
"Narendranath, Aneet D; Hermanson, James C; Struthers, Allan A; Kolkka, Robert W; Allen, Jeffrey S; ",Stability of an evaporating liquid film under nonequilibrium conditions with variable gravity,Fluids Engineering Division Summer Meeting,44762,,309-315,2012,American Society of Mechanical Engineers,
"Narendranath, Aneet D; Kimball, Jeramy; Hermanson, James C; Kolkka, Robert W; Allen, Jeffrey S; ",Stability of Liquid Films,ASME International Mechanical Engineering Congress and Exposition,44441,,1321-1331,2010,,
"Narendranath, Aneet; Hermanson, James; Struthers, Allan; Kolkka, Robert; Allen, Jeffrey; ",Thermocapillarity driven Instabilities in thin liquid layers subject to long-wave analysis,APS Division of Fluid Dynamics Meeting Abstracts,,,H9. 004,2012,,
"Narendranath, AD; Allen, JS; Hermanson, JC; ",Stability of Evaporating Films in the Absence of Gravity--Isolation of Instability Mechanisms,Next-Generation Suborbital Researchers Conference,1534,,68,2010,,
"Narendranath, Aneet D; Kimball, Jeramy; Hermanson, James C; Allen, Jeffrey S; ",Manifestation of instability mechanisms in liquid films,Journal of Heat Transfer,134,8,,2012,American Society of Mechanical Engineers Digital Collection,
"Narendranath, Aneet Dharmavaram; ",Influence of mechanical and thermal boundary conditions on stabilizing/destabilizing mechanisms in evaporating liquid films,Michigan Technological University (Dissertation),,,,2013,Michigan Technological University,
"Narendranath, Aneet Dharmavaram; ",Dynamics of thin liquid films on a porous substrate in zero gravity,arXiv preprint arXiv:1605.08173,,,,2016,,
"Narendranath, Aneet D; Mukherjee, Abhijit; ",Molecular Dynamics Simulation of Homogeneous Nucleation in a Lennard Jones Liquid,ASME 2008 International Mechanical Engineering Congress and Exposition,,,573-583,2008,American Society of Mechanical Engineers,
"Struthers, Allan; Kolkka, Robert; Allen, Jeffrey; Narendranath, Aneet D.; ",Accurately Resolving Rupture in 4th order Partial Differential Equations Modeling Thin Films Using NDSolve,Wolfram Technology conference,,,,2010,,
"Narendranath, Aneet D.; Deshpande, Prathamesh P.; Kolati, M.; Datta S., Manjunath; ",Using Finite Element Methods to Calculate the Deflection of an Orifice Plate Subject to Uniform Pressure Distribution,ASEE Annual Conference & Exposition,,,,2016,https://peer.asee.org/27146,
"Narendranath, A.D.; ",Solution to the one-dimensional Rayleigh-Plesset equation by the Differential Transform method,https://arxiv.org/abs/1610.06035,,,,2016,,
"Narendranath, Aneet Dharmavaram; ",Damping of Thermocapillary Destabilization of a Liquid Film in Zero Gravity Through the Use of an Isothermal Porous Substrate,Gravitational and Space Research,5,2,,2017,,
"Narendranath, Aneet Dharmavaram; ",Introducing the Galerkin Method of Weighted Residuals into an Undergraduate Elective Course in Finite Element Methods,2017 ASEE Annual Conference & Exposition,,,,2017,,
"Narendranath, Aneet Dharmavaram; ","Recurrence quantification analysis: Nonlinear wave dynamics in the Kuramoto-Sivashinsky equation, Response of the Tri-pendulum and FlanSea WEC and Extreme Events",OCEANS 2018 MTS/IEEE Charleston,,,1-10,2018,IEEE,
"Narendranath, Aneet Dharmavaram; ",Raspberry Pi based learning center usage tracking system for optimal resource allocation,2018 IEEE Frontiers in Education Conference (FIE),,,1-5,2018,IEEE,
"Narendranath, AD; ",Dynamics of Thin Liquid Films in Zero Gravity: Stabilization of Destabilization,Wolfram Technology conference,,,,2016,,https://www.youtube.com/watch?v=qTCwmUuM-Gg
"Narendranath, A.D; ",Approximating Steam Properties: Machine Learning on IAPWS Standard,Wolfram Technology conference,,,,2019,,https://www.youtube.com/watch?v=xngHOVYZ1ak
"Narendranath, Aneet Dharmavaram; ","Work in Progress: Collect, Carve, Classify",American Society of Engineering Education,,,,2020,,
"Narendranath, Aneet Dharmavaram; ",Introducing Artificial Neural Networks as a Specific Enthalpy approximator for a course on introductory Thermodynamics,2020 IEEE Frontiers in Education Conference (FIE),,,1-5,2020,IEEE,
"Narendranath, A.D; Gopujkar, S.",Building a suite of learning analytics tools for a STEM curriculum,Wolfram Technology conference,,,,2021,,Will be published on YouTube by Wolfram Research at the end of 2021 or early in 2022.
